Code,Description,Unit,Mat Cost,Mat Factor,Mat Unit,Labor Cost,Labor Productivity,Labor Unit,Sub Cost,Equip Cost,Equip Productivity,Equip Unit,Other Cost
12.000060.0270,8x18 Rectangular - Mastic,LF,11.74,1.16,,75,2.95,HR,0,0,1,HR,0
12.000060.0280,8x18 Rectangular - Bare,LF,5.24,1.16,,75,6.04,HR,0,0,1,HR,0
12.000060.0290,"8x20 Rectangular - 2"" Insulation",LF,7.23,1.16,,75,5.06,HR,0,0,1,HR,0
12.000060.0300,"8x20 Rectangular - 1"" Lined",LF,8.94,1.16,,75,4.7,HR,0,0,1,HR,0
12.000060.0310,8x20 Rectangular - Mastic,LF,12.65,1.16,,75,2.83,HR,0,0,1,HR,0
12.000060.0320,8x20 Rectangular - Bare,LF,5.65,1.16,,75,6.01,HR,0,0,1,HR,0
12.000060.0330,"8x22 Rectangular - 2"" Insulation",LF,7.74,1.16,,75,4.96,HR,0,0,1,HR,0
12.000060.0340,"8x22 Rectangular - 1"" Lined",LF,9.5,1.16,,75,4.58,HR,0,0,1,HR,0
12.000060.0350,8x22 Rectangular - Mastic,LF,13.55,1.16,,75,2.72,HR,0,0,1,HR,0
12.000060.0360,8x22 Rectangular - Bare,LF,6.05,1.16,,75,5.95,HR,0,0,1,HR,0
12.000060.0370,"8x24 Rectangular - 2"" Insulation",LF,8.26,1.16,,75,4.88,HR,0,0,1,HR,0
12.000060.0380,"8x24 Rectangular - 1"" Lined",LF,10.06,1.16,,75,4.48,HR,0,0,1,HR,0
12.000060.0390,8x24 Rectangular - Mastic,LF,14.45,1.16,,75,2.61,HR,0,0,1,HR,0
12.000060.0400,8x24 Rectangular - Bare,LF,6.45,1.16,,75,5.9,HR,0,0,1,HR,0
12.000060.0410,"8x26 Rectangular - 2"" Insulation",LF,8.78,1.16,,75,4.81,HR,0,0,1,HR,0
12.000060.0420,"8x26 Rectangular - 1"" Lined",LF,10.62,1.16,,75,4.4,HR,0,0,1,HR,0
12.000060.0430,8x26 Rectangular - Mastic,LF,15.36,1.16,,75,2.52,HR,0,0,1,HR,0
12.000060.0440,8x26 Rectangular - Bare,LF,6.86,1.16,,75,5.87,HR,0,0,1,HR,0
12.000060.0450,"8x28 Rectangular - 2"" Insulation",LF,9.29,1.16,,75,4.34,HR,0,0,1,HR,0
12.000060.0460,"8x28 Rectangular - 1"" Lined",LF,11.04,1.16,,75,3.99,HR,0,0,1,HR,0
12.000060.0470,8x28 Rectangular - Mastic,LF,16.26,1.16,,75,2.32,HR,0,0,1,HR,0
12.000060.0480,8x28 Rectangular - Bare,LF,7.26,1.16,,75,5.25,HR,0,0,1,HR,0
12.000060.0490,"8x30 Rectangular - 2"" Insulation",LF,9.68,1.66,,75,4.27,HR,0,0,1,HR,0
12.000060.0500,"8x30 Rectangular - 1"" Lined",LF,11.59,1.66,,75,3.92,HR,0,0,1,HR,0
12.000060.0510,8x30 Rectangular - Mastic,LF,17.04,1.66,,75,2.24,HR,0,0,1,HR,0
12.000060.0520,8x30 Rectangular - Bare,LF,7.54,1.66,,75,0.19,HR,0,0,1,HR,0
12.000060.0530,"8x32 Rectangular - 2"" Insulation",LF,10.19,1.66,,75,4.21,HR,0,0,1,HR,0
12.000060.0540,"8x32 Rectangular - 1"" Lined",LF,12.15,1.66,,75,3.86,HR,0,0,1,HR,0
12.000060.0550,8x32 Rectangular - Mastic,LF,17.93,1.66,,75,2.18,HR,0,0,1,HR,0
12.000060.0560,8x32 Rectangular - Bare,LF,7.93,1.66,,65,5.19,HR,0,0,1,HR,0
12.000060.0570,"8x10 Rectangular - 1"" Lined",LF,6.29,1.1,,75,5.68,HR,0,0,1,HR,0
12.000060.0580,8x10 Rectangular - Mastic,LF,8.25,1.1,,75,3.77,HR,0,0,1,HR,0
12.000060.0590,8x10 Rectangular - Bare,LF,3.75,1.1,,75,6.87,HR,0,0,1,HR,0
12.000060.0600,"8x12 Rectangular - 2"" Insulation",LF,5.3,1.1,,75,5.9,HR,0,0,1,HR,0
12.000060.0610,"8x12 Rectangular - 1"" Lined",LF,6.87,1.1,,75,5.53,HR,0,0,1,HR,0
12.000060.0620,8x12 Rectangular - Mastic,LF,9.17,1.1,,75,3.56,HR,0,0,1,HR,0
12.000060.0630,8x12 Rectangular - Bare,LF,4.17,1.1,,75,6.79,HR,0,0,1,HR,0
12.000060.0640,"8x14 Rectangular - 2"" Insulation",LF,5.82,1.1,,75,5.79,HR,0,0,1,HR,0
12.000060.0650,"8x14 Rectangular - 1"" Lined",LF,7.26,1.1,,75,5.41,HR,0,0,1,HR,0
12.000060.0660,8x14 Rectangular - Mastic,LF,10.08,1.1,,75,3.4,HR,0,0,1,HR,0
12.000060.0670,"8x6 Rectangular - 1"" Lined",LF,5.15,1.1,,75,6.01,HR,0,0,1,HR,0
12.000060.0680,8x14 Rectangular - Bare,LF,4.58,1.1,,75,6.76,HR,0,0,1,HR,0
12.000060.0690,"8x16 Rectangular - 2"" Insulation",LF,6.19,1.16,,75,5.25,HR,0,0,1,HR,0
12.000060.0700,"8x16 Rectangular - 1"" Lined",LF,7.82,1.16,,75,4.9,HR,0,0,1,HR,0
12.000060.0710,8x16 Rectangular - Mastic,LF,10.84,1.16,,75,3.09,HR,0,0,1,HR,0
12.000060.0720,8x16 Rectangular - Bare,LF,4.84,1.16,,75,6.1,HR,0,0,1,HR,0
12.000060.0730,"8x18 Rectangular - 2"" Insulation",LF,6.71,1.16,,75,5.14,HR,0,0,1,HR,0
12.000060.0740,"8x18 Rectangular - 1"" Lined",LF,8.38,1.16,,75,4.79,HR,0,0,1,HR,0
12.000060.0750,8x18 Rectangular - Mastic,LF,11.74,1.16,,75,2.95,HR,0,0,1,HR,0
12.000060.0760,8x18 Rectangular - Bare,LF,5.24,1.16,,75,6.04,HR,0,0,1,HR,0
12.000060.0770,"8x20 Rectangular - 2"" Insulation",LF,7.23,1.16,,75,5.06,HR,0,0,1,HR,0
12.000060.0780,8x6 Rectangular - Mastic,LF,6.42,1.1,,75,4.22,HR,0,0,1,HR,0
12.000060.0790,"8x20 Rectangular - 1"" Lined",LF,8.94,1.16,,75,4.7,HR,0,0,1,HR,0
12.000060.0800,8x20 Rectangular - Mastic,LF,12.65,1.16,,75,2.83,HR,0,0,1,HR,0
12.000060.0810,8x20 Rectangular - Bare,LF,5.65,1.16,,75,6.01,HR,0,0,1,HR,0
12.000060.0820,"8x22 Rectangular - 2"" Insulation",LF,7.74,1.16,,75,4.96,HR,0,0,1,HR,0
12.000060.0830,"8x22 Rectangular - 1"" Lined",LF,9.5,1.16,,75,4.58,HR,0,0,1,HR,0
12.000060.0840,8x22 Rectangular - Mastic,LF,13.55,1.16,,75,2.72,HR,0,0,1,HR,0
12.000060.0850,8x22 Rectangular - Bare,LF,6.05,1.16,,75,5.95,HR,0,0,1,HR,0
12.000060.0860,"8x24 Rectangular - 2"" Insulation",LF,8.26,1.16,,75,4.88,HR,0,0,1,HR,0
12.000060.0870,"8x24 Rectangular - 1"" Lined",LF,10.06,1.16,,75,4.48,HR,0,0,1,HR,0
12.000060.0880,8x24 Rectangular - Mastic,LF,14.45,1.16,,75,2.61,HR,0,0,1,HR,0
